[ 3685.711878] avd 269080000.avd:       28 | hdr_218_width_align
[ 3685.717634] avd 269080000.avd: fdb39800 | hdr_214_uv_addr_lsb8[0]
[ 3685.723738] avd 269080000.avd:        0 | hdr_214_uv_addr_lsb8[0] (high)
[ 3685.730455] avd 269080000.avd:       28 | hdr_21c_width_align
[ 3685.736208] avd 269080000.avd:        0 | cm3_mark_end_section
[ 3685.742052] avd 269080000.avd:  16f027f | hdr_54_height_width
[ 3685.747810] avd 269080000.avd:        0 | cm3_dma_config_6
[ 3685.753300] avd 269080000.avd: fce18000 | hdr_9c_pps_tile_addr_lsb8[7]
[ 3685.759844] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[7] (high)
[ 3685.766998] avd 269080000.avd: fdbce400 | hdr_bc_sps_tile_addr_lsb8[0]
[ 3685.773533] avd 269080000.avd:        0 | hdr_bc_sps_tile_addr_lsb8[0] (high)
[ 3685.780685] avd 269080000.avd:        0 | cm3_dma_config_7
[ 3685.786179] avd 269080000.avd:        0 | cm3_dma_config_8
[ 3685.791670] avd 269080000.avd:        0 | cm3_dma_config_9
[ 3685.797166] avd 269080000.avd:        0 | cm3_dma_config_a
[ 3685.802660] avd 269080000.avd:  1000002 | hdr_d0_ref_hdr
[ 3685.807979] avd 269080000.avd:        0 | cm3_mark_end_section_scl
[ 3685.814172] avd 269080000.avd: 2d820000 | slc_a7c_cmd_set_coded_slice
[ 3685.820623] avd 269080000.avd: fee80003 | slc_a84_slice_addr_low
[ 3685.826641] avd 269080000.avd:      202 | slc_a88_slice_hdr_size
[ 3685.832669] avd 269080000.avd: 2c000000 | cm3_cmd_exec_mb_vp
[ 3685.838330] avd 269080000.avd: 2d906000 | slc_a70_cmd_quant_param
[ 3685.844439] avd 269080000.avd: 2da30000 | slc_a74_cmd_deblocking_filter
[ 3685.851063] avd 269080000.avd: 2dc00000 | slc_6e8_cmd_ref_list_0
[ 3685.857079] avd 269080000.avd: 2dd00000 | slc_76c_cmd_weights_denom
[ 3685.863366] avd 269080000.avd: 2a000000 | cm3_cmd_set_mb_dims
[ 3685.869116] avd 269080000.avd:    16027 | cm3_set_mb_dims
[ 3685.874524] avd 269080000.avd: 2d018000 | slc_6e4_cmd_ref_type
[ 3685.880369] avd 269080000.avd: 2b000400 | cm3_cmd_inst_fifo_end
[ 3685.886580] avd 269080000.avd: 2b000100 | inst_fifo_start
[ 3685.891704] avd 269080000.avd: 2db012e0 | hdr_34_start_hdr
[ 3685.897196] avd 269080000.avd:  1000000 | hdr_38_mode
[ 3685.902252] avd 269080000.avd:  16f027f | hdr_3c_height_width
[ 3685.908006] avd 269080000.avd:        0 | hdr_40_zero
[ 3685.913065] avd 269080000.avd:   2d004f | hdr_28_height_width_shift3
[ 3685.919433] avd 269080000.avd:  1002801 | hdr_2c_sps_param
[ 3685.924925] avd 269080000.avd:   200000 | hdr_44_flags
[ 3685.930070] avd 269080000.avd:        0 | hdr_48_chroma_qp_index_offset
[ 3685.936700] avd 269080000.avd:   30000a | hdr_58_const_3a
[ 3685.942104] avd 269080000.avd:        0 | cm3_dma_config_1
[ 3685.947600] avd 269080000.avd:        0 | cm3_dma_config_2
[ 3685.953098] avd 269080000.avd:        0 | zero
[ 3685.957543] avd 269080000.avd: fcfa0000 | hdr_9c_pps_tile_addr_lsb8[0]
[ 3685.964084] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[0] (high)
